Designator,Footprint,Quantity,Value,LCSC Part #
J101,JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,1,Conn_01x02_Socket,
M101,Chihai_CHR_GM16,1,Motor_DC,
